Ozone,Solar.R,Wind,Temp,Day,Month
41,190,7.4,67,1,1
36,118,8,72,2,1
12,149,12.6,74,3,1
18,313,11.5,62,4,1
NA,NA,14.3,56,5,1
28,NA,14.9,66,6,1
23,299,8.6,65,7,1
19,99,13.8,59,8,1
8,19,20.1,61,9,1
NA,194,8.6,69,10,1
7,NA,6.9,74,11,1
16,256,9.7,69,12,1
11,290,9.2,66,13,1
14,274,10.9,68,14,1
18,65,13.2,58,15,1
14,334,11.5,64,16,1
34,307,12,66,17,1
6,78,18.4,57,18,1
30,322,11.5,68,19,1
11,44,9.7,62,20,1
1,8,9.7,59,21,1
11,320,16.6,73,22,1
4,25,9.7,61,23,1
32,92,12,61,24,1
NA,66,16.6,57,25,1
NA,266,14.9,58,26,1
NA,NA,8,57,27,1
23,13,12,67,28,1
45,252,14.9,81,29,1
115,223,5.7,79,30,1
37,279,7.4,76,31,1
NA,286,8.6,78,1,2
NA,287,9.7,74,2,2
NA,242,16.1,67,3,2
NA,186,9.2,84,4,2
NA,220,8.6,85,5,2
NA,264,14.3,79,6,2
29,127,9.7,82,7,2
NA,273,6.9,87,8,2
71,291,13.8,90,9,2
39,323,11.5,87,10,2
NA,259,10.9,93,11,2
NA,250,9.2,92,12,2
23,148,8,82,13,2
NA,332,13.8,80,14,2
NA,322,11.5,79,15,2
21,191,14.9,77,16,2
37,284,20.7,72,17,2
20,37,9.2,65,18,2
12,120,11.5,73,19,2
13,137,10.3,76,20,2
NA,150,6.3,77,21,2
NA,59,1.7,76,22,2
NA,91,4.6,76,23,2
NA,250,6.3,76,24,2
NA,135,8,75,25,2
NA,127,8,78,26,2
NA,47,10.3,73,27,2
NA,98,11.5,80,28,2
NA,31,14.9,77,29,2
NA,138,8,83,30,2
135,269,4.1,84,1,3
49,248,9.2,85,2,3
32,236,9.2,81,3,3
NA,101,10.9,84,4,3
64,175,4.6,83,5,3
40,314,10.9,83,6,3
77,276,5.1,88,7,3
97,267,6.3,92,8,3
97,272,5.7,92,9,3
85,175,7.4,89,10,3
NA,139,8.6,82,11,3
10,264,14.3,73,12,3
27,175,14.9,81,13,3
NA,291,14.9,91,14,3
7,48,14.3,80,15,3
48,260,6.9,81,16,3
35,274,10.3,82,17,3
61,285,6.3,84,18,3
79,187,5.1,87,19,3
63,220,11.5,85,20,3
16,7,6.9,74,21,3
NA,258,9.7,81,22,3
NA,295,11.5,82,23,3
80,294,8.6,86,24,3
108,223,8,85,25,3
20,81,8.6,82,26,3
52,82,12,86,27,3
82,213,7.4,88,28,3
50,275,7.4,86,29,3
64,253,7.4,83,30,3
59,254,9.2,81,31,3
39,83,6.9,81,1,4
9,24,13.8,81,2,4
16,77,7.4,82,3,4
78,NA,6.9,86,4,4
35,NA,7.4,85,5,4
66,NA,4.6,87,6,4
122,255,4,89,7,4
89,229,10.3,90,8,4
110,207,8,90,9,4
NA,222,8.6,92,10,4
NA,137,11.5,86,11,4
44,192,11.5,86,12,4
28,273,11.5,82,13,4
65,157,9.7,80,14,4
NA,64,11.5,79,15,4
22,71,10.3,77,16,4
59,51,6.3,79,17,4
23,115,7.4,76,18,4
31,244,10.9,78,19,4
44,190,10.3,78,20,4
21,259,15.5,77,21,4
9,36,14.3,72,22,4
NA,255,12.6,75,23,4
45,212,9.7,79,24,4
168,238,3.4,81,25,4
73,215,8,86,26,4
NA,153,5.7,88,27,4
76,203,9.7,97,28,4
118,225,2.3,94,29,4
84,237,6.3,96,30,4
85,188,6.3,94,31,4
96,167,6.9,91,1,5
78,197,5.1,92,2,5
73,183,2.8,93,3,5
91,189,4.6,93,4,5
47,95,7.4,87,5,5
32,92,15.5,84,6,5
20,252,10.9,80,7,5
23,220,10.3,78,8,5
21,230,10.9,75,9,5
24,259,9.7,73,10,5
44,236,14.9,81,11,5
21,259,15.5,76,12,5
28,238,6.3,77,13,5
9,24,10.9,71,14,5
13,112,11.5,71,15,5
46,237,6.9,78,16,5
18,224,13.8,67,17,5
13,27,10.3,76,18,5
24,238,10.3,68,19,5
16,201,8,82,20,5
13,238,12.6,64,21,5
23,14,9.2,71,22,5
36,139,10.3,81,23,5
7,49,10.3,69,24,5
14,20,16.6,63,25,5
30,193,6.9,70,26,5
NA,145,13.2,77,27,5
14,191,14.3,75,28,5
18,131,8,76,29,5
20,223,11.5,68,30,5